,"""cms_id""","""agency_name""","""addr1""","""addr2""","""city""","""state""","""zip""","""county""","""phone_number""","""website""","""ownership_types""","""data_source"""
0,"""17000""","""ALABAMA DEPARTMENT OF PUBLIC HEALTH HOME CARE""","""201 MONROE STREET, THE RSA TOWER,  SUITE 1200""",,"""MONTGOMERY""","""AL""","""36104""",,"""(334) 206-5341""",,"""state_county""","""{cms-hh}"""
1,"""17009""","""ENCOMPASS HEALTH HOME HEALTH""","""2970 LORNA ROAD, STE 104""",,"""VESTAVIA HILLS""","""AL""","""35216""",,"""(205) 824-2680""",,"""private""","""{cms-hh}"""
2,"""17013""","""KINDRED AT HOME""","""1239 RUCKER BLVD""",,"""ENTERPRISE""","""AL""","""36330""",,"""(334) 347-0234""",,"""private""","""{cms-hh}"""
3,"""17014""","""AMEDISYS HOME HEALTH""","""68278 MAIN STREET""",,"""BLOUNTSVILLE""","""AL""","""35031""",,"""(866) 486-4919""",,"""private""","""{cms-hh}"""
4,"""17016""","""SOUTHEAST ALABAMA HOMECARE""","""804 GLOVER AVENUE""",,"""ENTERPRISE""","""AL""","""36330""",,"""(334) 347-4800""",,"""private""","""{cms-hh}"""
5,"""17018""","""KINDRED AT HOME""","""3225 RAINBOW DRIVE, SUITE 256""",,"""RAINBOW CITY""","""AL""","""35906""",,"""(256) 442-1138""",,"""private""","""{cms-hh}"""
6,"""17020""","""AMEDISYS HOME HEALTH CARE""","""3262 OLD SHELL ROAD, STE B""",,"""MOBILE""","""AL""","""36607""",,"""(251) 380-0492""",,"""private""","""{cms-hh}"""
7,"""17024""","""SOUTHEAST ALABAMA HOMECARE""","""1435 ROSS CLARK CIRCLE, SUITE 2""",,"""DOTHAN""","""AL""","""36301""",,"""(334) 794-0591""",,"""private""","""{cms-hh}"""
8,"""17025""","""SAAD HEALTHCARE""","""1515 UNIVERSITY BLVD, SOUTH""",,"""MOBILE""","""AL""","""36609""",,"""(251) 343-9600""",,"""private""","""{cms-hh}"""
9,"""17026""","""KINDRED AT HOME""","""2100 RIVERCHASE CTR, STE 450""",,"""HOOVER""","""AL""","""35244""",,"""(205) 739-7800""",,"""private""","""{cms-hh}"""
10,"""17027""","""DECATUR MORGAN HOMECARE""","""2708 HIGHWAY 31 SOUTH, SUITE B""",,"""DECATUR""","""AL""","""35603""",,"""(256) 350-4182""",,"""private""","""{cms-hh}"""
11,"""17034""","""COMFORT CARE COASTAL HOME HEALTH""","""1390 NORTH MCKENZIE STREET""",,"""FOLEY""","""AL""","""36535""",,"""(251) 621-4431""",,"""np_religious""","""{cms-hh}"""
12,"""17035""","""INFIRMARY HOMECARE""","""6001 AIRPORT BOULEVARD, STE B""",,"""MOBILE""","""AL""","""36608""",,"""(251) 450-3300""",,"""private""","""{cms-hh}"""
13,"""17037""","""BAPTIST HOME HEALTH""","""451 ST. LUKE'S DRIVE, SUITE 451""",,"""MONTGOMERY""","""AL""","""36117""",,"""(334) 395-5100""",,"""private""","""{cms-hh}"""
14,"""17039""","""AMEDISYS HOME HEALTH OF HUNTSVILLE""","""250 CHATEAU DRIVE SW, SUITE 245""",,"""HUNTSVILLE""","""AL""","""35801""",,"""(256) 885-1665""",,"""private""","""{cms-hh}"""
15,"""17048""","""KINDRED AT HOME""","""1204 W MAGNOLIA AVENUE""",,"""GENEVA""","""AL""","""36340""",,"""(334) 684-3919""",,"""private""","""{cms-hh}"""
16,"""17050""","""SPECTRUM HOME HEALTH AGENCY""","""1310 PULASKI PIKE, UNIT A""",,"""HUNTSVILLE""","""AL""","""35816""",,"""(256) 539-4457""",,"""np_private""","""{cms-hh}"""
17,"""17051""","""AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM""","""2204 LAKESHORE DRIVE, SUITE 200""",,"""HOMEWOOD""","""AL""","""35209""",,"""(205) 868-0147""",,"""private""","""{cms-hh}"""
18,"""17052""","""KINDRED AT HOME""","""150 WEST SECTION AVENUE, STE 100""",,"""FOLEY""","""AL""","""36535""",,"""(251) 943-3002""",,"""private""","""{cms-hh}"""
19,"""17053""","""ENCOMPASS HEALTH HOME HEALTH""","""3379 WEST MAIN STREET, SUITE 3""",,"""DOTHAN""","""AL""","""36305""",,"""(334) 793-5758""",,"""private""","""{cms-hh}"""
